type,name,description,time,price,location,area,note,id,full_text,vector_search
eat,Bun Bo Ba Thuong,hue-style spicy beef noodle soup,morning,35k VND (~1.4$),23 Ngo Gia Tu,center,"Bun Bo Ba Thuong offers spicy broth with lemongrass, beef shank, and thick round noodles.",eat_014,"hue-style spicy beef noodle soup morning 35k VND (~1.4$) 23 Ngo Gia Tu center Bun Bo Ba Thuong offers spicy broth with lemongrass, beef shank, and thick round noodles.","Bun Bo Ba Thuong offers spicy broth with lemongrass, beef shank, and thick round noodles."
eat,Banh My Ba Lan,vietnamese baguette with pork,morning,20k VND (~0.8$),62 Trung Nu Vuong,center,Banh My Ba Lan is a street cart famous for crunchy baguettes with homemade pork floss and pickled veggies.,eat_015,vietnamese baguette with pork morning 20k VND (~0.8$) 62 Trung Nu Vuong center Banh My Ba Lan is a street cart famous for crunchy baguettes with homemade pork floss and pickled veggies.,Banh My Ba Lan is a street cart famous for crunchy baguettes with homemade pork floss and pickled veggies.
eat,Bun Rieu Cua Co Ba,crab paste noodle soup,morning,30k VND (~1.2$),45 Nguyen Cong Tru,center,"Bun Rieu Cua Co Ba serves tangy crab tomato soup with tofu, blood pudding, and vermicelli.",eat_016,"crab paste noodle soup morning 30k VND (~1.2$) 45 Nguyen Cong Tru center Bun Rieu Cua Co Ba serves tangy crab tomato soup with tofu, blood pudding, and vermicelli.","Bun Rieu Cua Co Ba serves tangy crab tomato soup with tofu, blood pudding, and vermicelli."
eat,Chao Vit Cay Sung,duck porridge,evening,40k VND (~1.6$),54 Le Duan,center,"Chao Vit Cay Sung offers peppery porridge with boiled duck, ginger fish sauce, and herbs.",eat_017,"duck porridge evening 40k VND (~1.6$) 54 Le Duan center Chao Vit Cay Sung offers peppery porridge with boiled duck, ginger fish sauce, and herbs.","Chao Vit Cay Sung offers peppery porridge with boiled duck, ginger fish sauce, and herbs."
eat,Mi Quang Ech Ly Thai To,turmeric noodle with frog legs,lunch,60k VND (~2.4$),45 Ly Thai To,center,"Mi Quang Ech is a flavorful dish with frog meat, turmeric noodles, and thick broth.",eat_018,"turmeric noodle with frog legs lunch 60k VND (~2.4$) 45 Ly Thai To center Mi Quang Ech is a flavorful dish with frog meat, turmeric noodles, and thick broth.","Mi Quang Ech is a flavorful dish with frog meat, turmeric noodles, and thick broth."
eat,Banh Bot Loc La Chu Ba,tapioca dumplings in banana leaf,afternoon,20k VND (~0.8$),78 Chau Thi Vinh Te,center,"Banh Bot Loc La Chu Ba offers chewy dumplings filled with shrimp and pork, steamed in banana leaves.",eat_019,"tapioca dumplings in banana leaf afternoon 20k VND (~0.8$) 78 Chau Thi Vinh Te center Banh Bot Loc La Chu Ba offers chewy dumplings filled with shrimp and pork, steamed in banana leaves.","Banh Bot Loc La Chu Ba offers chewy dumplings filled with shrimp and pork, steamed in banana leaves."
eat,Bo Kho Banh My Co Lan,beef stew with baguette,morning,45k VND (~1.8$),33 Le Loi,center,"Bo Kho Co Lan features rich beef stew with carrots and herbs, served with crusty bread.",eat_020,"beef stew with baguette morning 45k VND (~1.8$) 33 Le Loi center Bo Kho Co Lan features rich beef stew with carrots and herbs, served with crusty bread.","Bo Kho Co Lan features rich beef stew with carrots and herbs, served with crusty bread."
eat,Goi Cuon Ba Tuyet,fresh spring rolls,afternoon,25k VND (~1$),12 Phan Dinh Phung,center,"Goi Cuon Ba Tuyet serves rice paper rolls with shrimp, pork, and peanut hoisin dipping sauce.",eat_021,"fresh spring rolls afternoon 25k VND (~1$) 12 Phan Dinh Phung center Goi Cuon Ba Tuyet serves rice paper rolls with shrimp, pork, and peanut hoisin dipping sauce.","Goi Cuon Ba Tuyet serves rice paper rolls with shrimp, pork, and peanut hoisin dipping sauce."
eat,Bun Thit Nuong Anh Ba,grilled pork vermicelli,lunch,35k VND (~1.4$),84 Nguyen Van Linh,center,"Bun Thit Nuong Anh Ba combines cold noodles with grilled pork, herbs, and fish sauce dressing.",eat_022,"grilled pork vermicelli lunch 35k VND (~1.4$) 84 Nguyen Van Linh center Bun Thit Nuong Anh Ba combines cold noodles with grilled pork, herbs, and fish sauce dressing.","Bun Thit Nuong Anh Ba combines cold noodles with grilled pork, herbs, and fish sauce dressing."
eat,Cafe Sua Da Ba Hoa,iced milk coffee,morning,18k VND (~0.7$),17 Quang Trung,center,"Ba Hoa’s iced milk coffee is strong and sweet, made with traditional Vietnamese phin filter.",eat_023,"iced milk coffee morning 18k VND (~0.7$) 17 Quang Trung center Ba Hoa’s iced milk coffee is strong and sweet, made with traditional Vietnamese phin filter.","Ba Hoa’s iced milk coffee is strong and sweet, made with traditional Vietnamese phin filter."
eat,Banh Trang Nuong Co Mai,grilled rice paper snack,evening,20k VND (~0.8$),86 Tran Ke Xuong,center,"Banh Trang Nuong Co Mai offers Vietnamese pizza-style grilled rice paper with egg, pork, and chili sauce.",eat_024,"grilled rice paper snack evening 20k VND (~0.8$) 86 Tran Ke Xuong center Banh Trang Nuong Co Mai offers Vietnamese pizza-style grilled rice paper with egg, pork, and chili sauce.","Banh Trang Nuong Co Mai offers Vietnamese pizza-style grilled rice paper with egg, pork, and chili sauce."
eat,Com Tam Ba Lan,broken rice with grilled pork,lunch,40k VND (~1.6$),22 Nguyen Van Thoai,center,"Com Tam Ba Lan offers grilled pork over broken rice with fish sauce, pickles, and fried egg.",eat_025,"broken rice with grilled pork lunch 40k VND (~1.6$) 22 Nguyen Van Thoai center Com Tam Ba Lan offers grilled pork over broken rice with fish sauce, pickles, and fried egg.","Com Tam Ba Lan offers grilled pork over broken rice with fish sauce, pickles, and fried egg."
eat,Bun Hen Co Nhung,vermicelli with baby clams,afternoon,30k VND (~1.2$),81 Le Thanh Nghi,center,Bun Hen Co Nhung features stir-fried baby clams over vermicelli with banana flower and herbs.,eat_026,vermicelli with baby clams afternoon 30k VND (~1.2$) 81 Le Thanh Nghi center Bun Hen Co Nhung features stir-fried baby clams over vermicelli with banana flower and herbs.,Bun Hen Co Nhung features stir-fried baby clams over vermicelli with banana flower and herbs.
eat,Mi Vit Tiem Ba Son,braised duck with egg noodles,lunch,60k VND (~2.4$),109 Hoang Dieu,center,Mi Vit Tiem Ba Son serves Chinese-style duck in herbal broth with egg noodles and bok choy.,eat_027,braised duck with egg noodles lunch 60k VND (~2.4$) 109 Hoang Dieu center Mi Vit Tiem Ba Son serves Chinese-style duck in herbal broth with egg noodles and bok choy.,Mi Vit Tiem Ba Son serves Chinese-style duck in herbal broth with egg noodles and bok choy.
eat,Chao Suon Co Huong,pork rib congee,morning,25k VND (~1$),35 Nguyen Duy Hieu,center,"Chao Suon Co Huong offers creamy rice porridge with tender pork ribs, scallions, and pepper.",eat_028,"pork rib congee morning 25k VND (~1$) 35 Nguyen Duy Hieu center Chao Suon Co Huong offers creamy rice porridge with tender pork ribs, scallions, and pepper.","Chao Suon Co Huong offers creamy rice porridge with tender pork ribs, scallions, and pepper."
eat,Nem Nuong Ba Sau,grilled pork sausage rolls,evening,40k VND (~1.6$),57 Ong Ich Khiem,center,Nem Nuong Ba Sau is a local favorite for grilled sausage rolls served with herbs and dipping sauce.,eat_029,grilled pork sausage rolls evening 40k VND (~1.6$) 57 Ong Ich Khiem center Nem Nuong Ba Sau is a local favorite for grilled sausage rolls served with herbs and dipping sauce.,Nem Nuong Ba Sau is a local favorite for grilled sausage rolls served with herbs and dipping sauce.
eat,Bun Dau Mam Tom Co Ngan,tofu and pork with fermented shrimp paste,lunch,50k VND (~2$),18 Nguyen Van Thoai,center,"Bun Dau Co Ngan includes fried tofu, boiled pork, rice noodles, and pungent shrimp paste.",eat_030,"tofu and pork with fermented shrimp paste lunch 50k VND (~2$) 18 Nguyen Van Thoai center Bun Dau Co Ngan includes fried tofu, boiled pork, rice noodles, and pungent shrimp paste.","Bun Dau Co Ngan includes fried tofu, boiled pork, rice noodles, and pungent shrimp paste."
eat,Hủ Tieu Nam Vang Co Hoa,cambodian-style pork noodle soup,morning,40k VND (~1.6$),22 Tran Phu,center,"Hu Tieu Nam Vang Co Hoa serves clear pork broth with noodles, shrimp, liver, and quail egg.",eat_031,"cambodian-style pork noodle soup morning 40k VND (~1.6$) 22 Tran Phu center Hu Tieu Nam Vang Co Hoa serves clear pork broth with noodles, shrimp, liver, and quail egg.","Hu Tieu Nam Vang Co Hoa serves clear pork broth with noodles, shrimp, liver, and quail egg."
eat,Banh It La Gai Co Lan,black sticky rice cake,afternoon,15k VND (~0.6$),14 Nguyen Van Linh,center,Co Lan’s Banh It La Gai is a traditional sticky rice cake with mung bean filling and dark green leaves.,eat_032,black sticky rice cake afternoon 15k VND (~0.6$) 14 Nguyen Van Linh center Co Lan’s Banh It La Gai is a traditional sticky rice cake with mung bean filling and dark green leaves.,Co Lan’s Banh It La Gai is a traditional sticky rice cake with mung bean filling and dark green leaves.
eat,Bo La Lot Co Hong,beef wrapped in betel leaves,evening,35k VND (~1.4$),47 Le Dinh Duong,center,"Bo La Lot Co Hong features grilled beef in betel leaves, served with rice paper and dipping sauce.",eat_033,"beef wrapped in betel leaves evening 35k VND (~1.4$) 47 Le Dinh Duong center Bo La Lot Co Hong features grilled beef in betel leaves, served with rice paper and dipping sauce.","Bo La Lot Co Hong features grilled beef in betel leaves, served with rice paper and dipping sauce."
eat,Bun Mang Vit Ba Phung,duck noodle soup with bamboo shoots,morning,45k VND (~1.8$),91 Nguyen Hoang,center,Bun Mang Vit Ba Phung serves duck meat in bamboo-flavored broth with vermicelli and ginger fish sauce.,eat_034,duck noodle soup with bamboo shoots morning 45k VND (~1.8$) 91 Nguyen Hoang center Bun Mang Vit Ba Phung serves duck meat in bamboo-flavored broth with vermicelli and ginger fish sauce.,Bun Mang Vit Ba Phung serves duck meat in bamboo-flavored broth with vermicelli and ginger fish sauce.
eat,Pho Bo Co Sau,southern-style beef noodle soup,morning,35k VND (~1.4$),102 Phan Chau Trinh,center,Pho Bo Co Sau offers rich southern-style beef pho with bean sprouts and hoisin sauce on the side.,eat_035,southern-style beef noodle soup morning 35k VND (~1.4$) 102 Phan Chau Trinh center Pho Bo Co Sau offers rich southern-style beef pho with bean sprouts and hoisin sauce on the side.,Pho Bo Co Sau offers rich southern-style beef pho with bean sprouts and hoisin sauce on the side.
eat,Xoi Ga Ba Vui,sticky rice with shredded chicken,morning,25k VND (~1$),66 Nguyen Tri Phuong,center,"Xoi Ga Ba Vui serves sticky rice with turmeric chicken, pickles, and fried shallots.",eat_036,"sticky rice with shredded chicken morning 25k VND (~1$) 66 Nguyen Tri Phuong center Xoi Ga Ba Vui serves sticky rice with turmeric chicken, pickles, and fried shallots.","Xoi Ga Ba Vui serves sticky rice with turmeric chicken, pickles, and fried shallots."
eat,Banh Trang Cuon Ba Hang,rolled rice paper with beef,evening,50k VND (~2$),122 Le Duan,center,"Ba Hang’s restaurant specializes in rice paper rolls with beef jerky, starfruit, and banana.",eat_037,"rolled rice paper with beef evening 50k VND (~2$) 122 Le Duan center Ba Hang’s restaurant specializes in rice paper rolls with beef jerky, starfruit, and banana.","Ba Hang’s restaurant specializes in rice paper rolls with beef jerky, starfruit, and banana."
eat,Banh Can Co Nghi,mini pancakes with egg,afternoon,30k VND (~1.2$),20 Nguyen Huu Tho,center,"Banh Can Co Nghi serves small pan-fried cakes with egg, scallion, and optional shrimp.",eat_038,"mini pancakes with egg afternoon 30k VND (~1.2$) 20 Nguyen Huu Tho center Banh Can Co Nghi serves small pan-fried cakes with egg, scallion, and optional shrimp.","Banh Can Co Nghi serves small pan-fried cakes with egg, scallion, and optional shrimp."
eat,Pho Ga Ta Ba Chin,free-range chicken noodle soup,morning,40k VND (~1.6$),70 Nui Thanh,center,Pho Ga Ta Ba Chin features tender free-range chicken in clear chicken broth with lime leaves.,eat_039,free-range chicken noodle soup morning 40k VND (~1.6$) 70 Nui Thanh center Pho Ga Ta Ba Chin features tender free-range chicken in clear chicken broth with lime leaves.,Pho Ga Ta Ba Chin features tender free-range chicken in clear chicken broth with lime leaves.
eat,Banh Kep Co Hai,crispy grilled rice cracker,afternoon,20k VND (~0.8$),73 Le Dinh Ly,center,"Co Hai’s crispy rice crackers are grilled and topped with dried beef, egg, and chili oil.",eat_040,"crispy grilled rice cracker afternoon 20k VND (~0.8$) 73 Le Dinh Ly center Co Hai’s crispy rice crackers are grilled and topped with dried beef, egg, and chili oil.","Co Hai’s crispy rice crackers are grilled and topped with dried beef, egg, and chili oil."
eat,Goi Mit Non Co Lan,young jackfruit salad with pork,afternoon,25k VND (~1$),89 Ngo Gia Tu,center,"Co Lan’s Goi Mit Non is a flavorful salad of shredded young jackfruit, pork skin, and sesame.",eat_041,"young jackfruit salad with pork afternoon 25k VND (~1$) 89 Ngo Gia Tu center Co Lan’s Goi Mit Non is a flavorful salad of shredded young jackfruit, pork skin, and sesame.","Co Lan’s Goi Mit Non is a flavorful salad of shredded young jackfruit, pork skin, and sesame."
eat,Mi Quang Ba Linh,turmeric noodles with chicken,lunch,35k VND (~1.4$),45 Nguyen Van Linh,center,Mi Quang Ba Linh offers traditional chicken Mi Quang with fresh herbs and crispy sesame rice cracker.,eat_042,turmeric noodles with chicken lunch 35k VND (~1.4$) 45 Nguyen Van Linh center Mi Quang Ba Linh offers traditional chicken Mi Quang with fresh herbs and crispy sesame rice cracker.,Mi Quang Ba Linh offers traditional chicken Mi Quang with fresh herbs and crispy sesame rice cracker.
eat,Cafe Cong Da Nang,vietnamese iced coconut coffee,morning,35k VND (~1.4$),96 Bach Dang,river,Cafe Cong is a famous chain with retro military décor and creamy coconut coffee overlooking Han River.,eat_043,vietnamese iced coconut coffee morning 35k VND (~1.4$) 96 Bach Dang river Cafe Cong is a famous chain with retro military décor and creamy coconut coffee overlooking Han River.,Cafe Cong is a famous chain with retro military décor and creamy coconut coffee overlooking Han River.
eat,Bun Cha Ha Noi Co Nga,grilled pork with noodles and herbs,lunch,45k VND (~1.8$),23 Le Duan,center,Bun Cha Co Nga offers Hanoi-style grilled pork patties in broth with cold noodles and garlic vinegar.,eat_044,grilled pork with noodles and herbs lunch 45k VND (~1.8$) 23 Le Duan center Bun Cha Co Nga offers Hanoi-style grilled pork patties in broth with cold noodles and garlic vinegar.,Bun Cha Co Nga offers Hanoi-style grilled pork patties in broth with cold noodles and garlic vinegar.
eat,Banh Xeo Co Tam,crispy pancake with shrimp and bean sprouts,evening,50k VND (~2$),13 Hoang Hoa Tham,center,"Banh Xeo Co Tam serves golden pancakes with shrimp, pork, and bean sprouts. Wrap in lettuce and dip!",eat_045,"crispy pancake with shrimp and bean sprouts evening 50k VND (~2$) 13 Hoang Hoa Tham center Banh Xeo Co Tam serves golden pancakes with shrimp, pork, and bean sprouts. Wrap in lettuce and dip!","Banh Xeo Co Tam serves golden pancakes with shrimp, pork, and bean sprouts. Wrap in lettuce and dip!"
eat,Chao Long Ba Lien,rice porridge with pork organs,morning,30k VND (~1.2$),59 Trung Nu Vuong,center,"Chao Long Ba Lien features rich porridge with pork belly, intestine, and fish sauce with chili.",eat_046,"rice porridge with pork organs morning 30k VND (~1.2$) 59 Trung Nu Vuong center Chao Long Ba Lien features rich porridge with pork belly, intestine, and fish sauce with chili.","Chao Long Ba Lien features rich porridge with pork belly, intestine, and fish sauce with chili."
eat,Sua Chua Nep Cam Co Oanh,black sticky rice with yogurt,afternoon,15k VND (~0.6$),67 Nguyen Thi Minh Khai,center,Co Oanh’s dessert is a creamy mix of yogurt and fermented black sticky rice.,eat_047,black sticky rice with yogurt afternoon 15k VND (~0.6$) 67 Nguyen Thi Minh Khai center Co Oanh’s dessert is a creamy mix of yogurt and fermented black sticky rice.,Co Oanh’s dessert is a creamy mix of yogurt and fermented black sticky rice.
eat,Bo Luc Lac Co Huong,shaking beef with rice,lunch,60k VND (~2.4$),76 Pham Van Dong,beach,"Bo Luc Lac Co Huong serves sautéed beef cubes with garlic, salad, and tomato rice.",eat_048,"shaking beef with rice lunch 60k VND (~2.4$) 76 Pham Van Dong beach Bo Luc Lac Co Huong serves sautéed beef cubes with garlic, salad, and tomato rice.","Bo Luc Lac Co Huong serves sautéed beef cubes with garlic, salad, and tomato rice."
eat,Xoi Xeo Co Loan,mung bean sticky rice with fried onion,morning,20k VND (~0.8$),11 Nguyen Tri Phuong,center,"Xoi Xeo Co Loan is a northern-style sticky rice with mashed mung beans, fried shallots, and chicken floss.",eat_049,"mung bean sticky rice with fried onion morning 20k VND (~0.8$) 11 Nguyen Tri Phuong center Xoi Xeo Co Loan is a northern-style sticky rice with mashed mung beans, fried shallots, and chicken floss.","Xoi Xeo Co Loan is a northern-style sticky rice with mashed mung beans, fried shallots, and chicken floss."
eat,Lau Thai 109,thai hotpot with beef and seafood,evening,200k VND (~8$)/set,109 Nguyen Van Linh,center,"Lau Thai 109 offers spicy and sour hotpot with beef, shrimp, squid, mushrooms, and dipping sauces.",eat_050,"thai hotpot with beef and seafood evening 200k VND (~8$)/set 109 Nguyen Van Linh center Lau Thai 109 offers spicy and sour hotpot with beef, shrimp, squid, mushrooms, and dipping sauces.","Lau Thai 109 offers spicy and sour hotpot with beef, shrimp, squid, mushrooms, and dipping sauces."
eat,Banh Mi O Loan,vietnamese baguette with egg and sausage,morning,20k VND (~0.8$),19 Le Lai,center,"Banh Mi O Loan serves hot baguettes filled with pate, sausage, egg, and pickled vegetables.",eat_051,"vietnamese baguette with egg and sausage morning 20k VND (~0.8$) 19 Le Lai center Banh Mi O Loan serves hot baguettes filled with pate, sausage, egg, and pickled vegetables.","Banh Mi O Loan serves hot baguettes filled with pate, sausage, egg, and pickled vegetables."
eat,Mi Quang Ech Ba Nhan,turmeric noodle with frog,lunch,60k VND (~2.4$),132 Le Dinh Duong,center,Mi Quang Ech Ba Nhan features tender frog meat in a thick turmeric broth with peanuts and herbs.,eat_052,turmeric noodle with frog lunch 60k VND (~2.4$) 132 Le Dinh Duong center Mi Quang Ech Ba Nhan features tender frog meat in a thick turmeric broth with peanuts and herbs.,Mi Quang Ech Ba Nhan features tender frog meat in a thick turmeric broth with peanuts and herbs.
eat,Banh Beo Co Van,steamed rice cakes with shrimp,afternoon,25k VND (~1$),77 Phan Chau Trinh,center,"Banh Beo Co Van serves small rice cakes topped with dried shrimp, crispy pork, and scallion oil.",eat_053,"steamed rice cakes with shrimp afternoon 25k VND (~1$) 77 Phan Chau Trinh center Banh Beo Co Van serves small rice cakes topped with dried shrimp, crispy pork, and scallion oil.","Banh Beo Co Van serves small rice cakes topped with dried shrimp, crispy pork, and scallion oil."
eat,Pho Thin Ha Noi Da Nang,northern-style pho with stir-fried beef,morning,45k VND (~1.8$),60 Nguyen Van Linh,center,Pho Thin Da Nang offers Hanoi-style stir-fried beef pho with rich broth and scallions.,eat_054,northern-style pho with stir-fried beef morning 45k VND (~1.8$) 60 Nguyen Van Linh center Pho Thin Da Nang offers Hanoi-style stir-fried beef pho with rich broth and scallions.,Pho Thin Da Nang offers Hanoi-style stir-fried beef pho with rich broth and scallions.
eat,Cafe Sua Da Ba Nhi,vietnamese iced milk coffee,morning,18k VND (~0.7$),72 Nguyen Thai Hoc,center,Ba Nhi’s coffee stand serves strong Robusta iced coffee with condensed milk. Local favorite!,eat_055,vietnamese iced milk coffee morning 18k VND (~0.7$) 72 Nguyen Thai Hoc center Ba Nhi’s coffee stand serves strong Robusta iced coffee with condensed milk. Local favorite!,Ba Nhi’s coffee stand serves strong Robusta iced coffee with condensed milk. Local favorite!
eat,Banh Xeo Tom Nhay,crispy pancake with jumping shrimp,evening,55k VND (~2.2$),120 Le Thanh Nghi,center,Banh Xeo Tom Nhay uses fresh shrimp tossed straight from tank onto sizzling batter. Served hot and crispy.,eat_056,crispy pancake with jumping shrimp evening 55k VND (~2.2$) 120 Le Thanh Nghi center Banh Xeo Tom Nhay uses fresh shrimp tossed straight from tank onto sizzling batter. Served hot and crispy.,Banh Xeo Tom Nhay uses fresh shrimp tossed straight from tank onto sizzling batter. Served hot and crispy.
eat,Chao Ga Cay Me,chicken porridge,morning,30k VND (~1.2$),35 Le Duan,center,Chao Ga Cay Me serves comforting rice porridge with shredded chicken and peppery broth.,eat_057,chicken porridge morning 30k VND (~1.2$) 35 Le Duan center Chao Ga Cay Me serves comforting rice porridge with shredded chicken and peppery broth.,Chao Ga Cay Me serves comforting rice porridge with shredded chicken and peppery broth.
eat,Xien Nuong Ba Ha,grilled skewers with chili salt,evening,10k VND/skewer,40 Nguyen Hoang,center,"Ba Ha’s street cart sells pork, squid, okra skewers grilled and dusted with spicy chili salt.",eat_058,"grilled skewers with chili salt evening 10k VND/skewer 40 Nguyen Hoang center Ba Ha’s street cart sells pork, squid, okra skewers grilled and dusted with spicy chili salt.","Ba Ha’s street cart sells pork, squid, okra skewers grilled and dusted with spicy chili salt."
