"type"; "name"; "description"; "time"; "price"; "location"; "area"; "note"
"eat"; "Bun Dau Mam Tom"; "tofu noodle platter with shrimp paste"; "afternoon"; "35k VND (~1.4$)"; "88 Le Viet Luong"; "south"; "Bún Đậu Mắm Tôm Chí Phèo – crispy tofu, pork belly, noodles, and fermented shrimp paste. Strong but tasty."
"eat"; "Ca Phe Trung"; "egg coffee"; "morning"; "35k VND (~1.4$)"; "Cafe Vang, 21 Doi Cung"; "center"; "Cà Phê Trứng Vàng – creamy egg foam over strong Vietnamese coffee. Served hot or iced."
"eat"; "Sua Chua Nep Cam"; "black sticky rice yogurt"; "afternoon"; "20k VND (~0.8$)"; "7 Nguyen Thai Hoc"; "center"; "Sữa Chua Nếp Cẩm Bống – rich yogurt with fermented black sticky rice. Chilled dessert snack."
"eat"; "Kem Flan"; "Vietnamese caramel pudding"; "evening"; "15k VND (~0.6$)"; "Hem 2 Ben Nghe"; "citadel"; "Flan Cô Lan – silky caramel flan served with crushed ice and coffee drizzle. Hidden gem!"
"eat"; "Banh Trang Cuon Thit Heo"; "pork rice paper rolls"; "lunch"; "45k VND (~1.8$)"; "Quan Tram, 86 Dinh Tien Hoang"; "north"; "Bánh Tráng Cuốn Thịt Heo Quán Trâm – boiled pork rolled with veggies and rice paper. Served with fermented fish sauce."
"eat"; "Banh Trang Tron"; "rice paper salad"; "afternoon"; "15k VND (~0.6$)"; "Cau Dong Ba Market"; "center"; "Bánh Tráng Trộn Cô Vi – shredded rice paper mixed with quail eggs, mango, peanuts, and chili oil."
"eat"; "Bot Chien"; "fried rice flour cake"; "evening"; "30k VND (~1.2$)"; "68 Nguyen Thai Hoc"; "center"; "Bột Chiên Hưng Phát – crispy fried rice flour cubes with egg and pickled papaya. Street-style delight!"
"eat"; "Banh Xeo"; "Vietnamese savory crepe"; "evening"; "40k VND (~1.6$)"; "42 Tran Phu"; "center"; "Bánh Xèo Cô Ba – large crispy pancake with shrimp, pork, bean sprouts. Roll with lettuce and herbs."
"eat"; "Bun Moc"; "pork ball noodle soup"; "morning"; "30k VND (~1.2$)"; "13 Nguyen Huu Canh"; "east"; "Bún Mọc Bé Tám – clear broth with mushroom pork balls, vermicelli, and crispy shallots."
"eat"; "Banh Ran"; "sesame glutinous rice balls"; "afternoon"; "10k VND (~0.4$)"; "Corner of Hung Vuong and Nguyen Du"; "center"; "Bánh Rán Mè O Tý – crispy sesame balls filled with mung bean paste. Sweet snack to-go!"
"eat"; "Bun Tom Thit"; "shrimp & pork vermicelli"; "lunch"; "35k VND (~1.4$)"; "17 Le Quy Don"; "center"; "Bún Tôm Thịt Hải Yến – light soup with shrimp, sliced pork, and morning glory."
"eat"; "Banh Canh Gio Heo"; "pork hock thick noodle soup"; "morning"; "35k VND (~1.4$)"; "22 Le Quy Don"; "east"; "Bánh Canh Giò Heo Dì Hạnh – thick tapioca noodles with pork hock, peppery broth, and fried shallots."
"eat"; "Banh Mi Que"; "mini baguette with pate and chili"; "afternoon"; "7k VND (~0.3$)"; "18 Nguyen Thai Hoc"; "center"; "Bánh Mì Que Hải Phòng – small spicy baguettes toasted with pâté and chili sauce. Great snack on the go!"
"eat"; "Goi Xoai"; "green mango salad"; "afternoon"; "20k VND (~0.8$)"; "Hem 6 Ly Thuong Kiet"; "center"; "Gỏi Xoài Cô Lành – shredded mango, shrimp, and roasted peanuts in tangy fish sauce dressing."
"eat"; "Pho Kho Gia Lai"; "dry pho noodles with sauce"; "lunch"; "35k VND (~1.4$)"; "Gia Lai Quan, 27 Ben Nghe"; "center"; "Phở Khô Gia Lai – two bowls: one with dry noodles and meat, one with hot broth. A Central Highlands specialty."
"eat"; "Bun Nuoc Leo"; "fermented fish noodle soup"; "lunch"; "40k VND (~1.6$)"; "19A Phan Boi Chau"; "south"; "Bún Nước Lèo Sóc Trăng – sweet-savory broth with fish, shrimp, and roasted pork. Distinct Mekong Delta flavor."
"eat"; "Xoi Ga"; "chicken sticky rice"; "morning"; "25k VND (~1$)"; "66 Ly Nam De"; "north"; "Xôi Gà Cô My – sticky rice with shredded chicken, crispy shallots, and soy sauce. Perfect breakfast!"
"eat"; "Chao Ech"; "frog porridge"; "evening"; "40k VND (~1.6$)"; "33 Nguyen Sinh Cung"; "east"; "Cháo Ếch Singapore – claypot frog legs in thick sauce served with hot porridge. Savory and spicy."
"eat"; "Banh Gai"; "black sticky rice cake"; "afternoon"; "10k VND (~0.4$)"; "14 Tran Quoc Toan"; "center"; "Bánh Gai Chị Lụa – sweet cake wrapped in black leaf, filled with mung bean and coconut."
"eat"; "Banh Mi Ca Moi"; "sardine baguette"; "morning"; "20k VND (~0.8$)"; "02 Nguyen Thai Hoc"; "center"; "Bánh Mì Cá Mòi O Sen – toasted baguette stuffed with canned sardines, chili sauce, and pickled carrots."
"eat"; "Sua Dau Nanh"; "soy milk"; "morning"; "7k VND (~0.3$)"; "Hem 3 Phan Dang Luu"; "center"; "Sữa Đậu Nành Bé Hương – fresh warm soy milk, lightly sweetened. Popular with early risers."
"eat"; "Chao Ga"; "chicken porridge"; "morning"; "25k VND (~1$)"; "16 Hai Ba Trung"; "center"; "Cháo Gà Mệ Xuyến – silky porridge with shredded chicken and ginger. Served with fried dough sticks."
"eat"; "Kem Bo"; "avocado ice cream"; "afternoon"; "20k VND (~0.8$)"; "31 Doi Cung"; "center"; "Kem Bơ Cô Sáu – creamy avocado blended with coconut ice cream. Rich but refreshing!"
"eat"; "Bun Ca"; "fish noodle soup"; "morning"; "30k VND (~1.2$)"; "54 Phan Chu Trinh"; "west"; "Bún Cá Cô Hồng – light tomato broth with crispy fried fish fillets. Topped with dill and onions."
"eat"; "Bun Cha Ca"; "grilled fish cake noodle soup"; "morning"; "35k VND (~1.4$)"; "5 Nguyen Van Troi"; "center"; "Bún Chả Cá Đà Nẵng – grilled fish cakes in light broth, served with bean sprouts and chili sauce."
"eat"; "Banh Pateso"; "puff pastry with meat"; "afternoon"; "12k VND (~0.5$)"; "Cafe Co Do, 8 Hung Vuong"; "center"; "Pâté Chaud Cố Đô – crispy French-style pastry filled with ground pork and onions. Great with tea or coffee."
"eat"; "Tra Dao"; "peach tea"; "afternoon"; "20k VND (~0.8$)"; "1989 Tea, 22 Le Quy Don"; "center"; "Trà Đào 1989 – iced peach tea with chewy jelly and fresh slices. Refreshing on hot days."
"eat"; "Bo Luc Lac"; "shaking beef"; "lunch"; "50k VND (~2$)"; "17 Tran Phu"; "center"; "Bò Lúc Lắc Bé Na – tender beef cubes sautéed with onions and butter, served with tomato rice or fries."
"eat"; "Bo Ne Trung Muoi"; "beefsteak with salted egg yolk"; "morning"; "55k VND (~2.2$)"; "62 Nguyen Sinh Cung"; "east"; "Bò Né Trứng Muối – sizzling beefsteak topped with salted egg yolk. Unique Hue twist!"
"eat"; "Cafe Trung"; "egg coffee"; "morning"; "35k VND (~1.4$)"; "Giang Cafe, 3 Tran Hung Dao"; "center"; "Cà Phê Trứng Giang – thick egg cream over strong coffee. Hue's take on Hanoi classic."
"eat"; "Sua Chua Tran Chau"; "tapioca pearl yogurt"; "afternoon"; "25k VND (~1$)"; "YoMilk, 20 Nguyen Cong Tru"; "center"; "Sữa Chua Trân Châu YoMilk – chewy tapioca pearls in sweet cold yogurt. Popular with students."
"eat"; "Banh Cuon Trung"; "egg steamed rolls"; "morning"; "30k VND (~1.2$)"; "14 Dang Huy Tru"; "center"; "Bánh Cuốn Trứng O Mai – soft egg-steamed rice rolls with minced pork and crispy toppings."
"eat"; "Goi Du Du"; "papaya salad with beef jerky"; "afternoon"; "25k VND (~1$)"; "7A Le Duan"; "citadel"; "Gỏi Đu Đủ Bò Khô – shredded papaya, herbs, beef jerky, and peanuts. Tangy and crunchy!"
"eat"; "Sua Ngo"; "corn milk"; "morning"; "10k VND (~0.4$)"; "Chợ Phú Hội"; "center"; "Sữa Ngô Nóng – sweet hot corn milk sold by street vendors in the morning. Great on chilly days."
"eat"; "Cafe Dua"; "coconut coffee"; "morning"; "35k VND (~1.4$)"; "Cong Cafe, 4 Nguyen Thai Hoc"; "center"; "Cà Phê Dừa Cộng – coconut cream blended with strong coffee. Sweet and bold."
"eat"; "Nem Ran"; "fried spring rolls"; "afternoon"; "30k VND (~1.2$)"; "23 Ly Thuong Kiet"; "center"; "Nem Rán Hà Nội – crispy fried rolls stuffed with ground pork, glass noodles, and veggies."
"eat"; "Chao Bo"; "beef porridge"; "evening"; "35k VND (~1.4$)"; "10 Nguyen Phuc Nguyen"; "citadel"; "Cháo Bò Cô Sáu – hearty beef porridge with green onion and satay oil. Served hot with quẩy."
"eat"; "Banh Bao"; "steamed pork bun"; "afternoon"; "15k VND (~0.6$)"; "3A Doi Cung"; "center"; "Bánh Bao Ông Bảy – large steamed bun with minced pork, egg, and wood ear mushrooms."
"eat"; "Bun Cha Ha Noi"; "grilled pork noodle dip"; "lunch"; "40k VND (~1.6$)"; "Ha Noi Quan, 28 Nguyen Hue"; "center"; "Bún Chả Hà Nội Quán – grilled pork belly and patties in sweet-sour broth, served with rice noodles."
"eat"; "Banh Mi Trung"; "egg baguette"; "morning"; "15k VND (~0.6$)"; "15 Chu Van An"; "center"; "Bánh Mì Trứng Cô Lan – toasted bread filled with omelet, soy sauce, and pickles."
"eat"; "Bo Vien Chien"; "fried beef balls"; "afternoon"; "20k VND (~0.8$)"; "11 Truong Chinh"; "south"; "Bò Viên Chiên Tí Chuột – crispy fried meatballs served with chili sauce. Popular street snack."
"eat"; "Sua Gac"; "gac fruit milk"; "morning"; "12k VND (~0.5$)"; "18 Tran Cao Van"; "north"; "Sữa Gấc Nhà Làm – sweet milk infused with antioxidant-rich gac fruit. Nutritious and unique."
"eat"; "Bun Nem Nuong"; "grilled sausage noodle"; "lunch"; "35k VND (~1.4$)"; "Quán Nem Nướng 79, 79 Ben Nghe"; "center"; "Bún Nem Nướng 79 – grilled sausage, vermicelli, herbs, and dipping sauce. Nha Trang style!"
"eat"; "Banh Bot Loc Chien"; "fried tapioca dumplings"; "evening"; "25k VND (~1$)"; "48 Nguyen Du"; "center"; "Bánh Bột Lọc Chiên Cô Diệu – crispy outside, chewy inside. Filled with shrimp and pork belly."
"eat"; "Sua Chua Mit"; "jackfruit yogurt"; "afternoon"; "20k VND (~0.8$)"; "Hem 10 Le Loi"; "center"; "Sữa Chua Mít – refreshing yogurt topped with jackfruit slices and jelly. Popular summer treat."
"eat"; "Pho Sate"; "satay beef noodle soup"; "evening"; "40k VND (~1.6$)"; "25 Nguyen Cong Tru"; "center"; "Phở Sa Tế 25 – spicy beef satay soup with peanut flavor and a fiery kick. Great for spice lovers!"
"eat"; "Hu Tieu"; "Southern noodle soup"; "morning"; "30k VND (~1.2$)"; "22 Phan Dinh Phung"; "center"; "Hủ Tiếu Cô Chín – clear broth with shrimp, pork, and quail eggs. Served with crispy shallots."
"eat"; "Kem Chuoi"; "frozen banana with coconut milk"; "afternoon"; "10k VND (~0.4$)"; "Chợ An Cựu"; "south"; "Kem Chuối Cô Tám – banana slices frozen with coconut cream, crushed peanuts, and sesame."
"eat"; "Banh Uot"; "wet rice paper with grilled meat"; "lunch"; "35k VND (~1.4$)"; "38 Dang Thai Than"; "citadel"; "Bánh Ướt Thịt Nướng Bà Hường – thin rice sheets with grilled pork, herbs, and dipping sauce."
"eat"; "Bo Kho My"; "beef stew with noodles"; "lunch"; "45k VND (~1.8$)"; "17A Ben Nghe"; "center"; "Bò Kho Mỹ – beef stew served with egg noodles or bánh mì. Slow-cooked and aromatic."
"eat"; "Bun Dau Cay"; "tofu noodle with spicy sauce"; "afternoon"; "30k VND (~1.2$)"; "9 Le Quy Don"; "center"; "Bún Đậu Cay Cô Hiền – spicy shrimp paste, fried tofu, vermicelli and boiled pork belly."
"eat"; "Cafe Muoi"; "salt coffee"; "morning"; "30k VND (~1.2$)"; "Muối Coffee, 2 Nguyen Cong Tru"; "center"; "Cà Phê Muối – bold espresso poured over creamy salted milk. Salty-sweet balance!"
"eat"; "Chao Tom"; "sugarcane shrimp"; "evening"; "40k VND (~1.6$)"; "Quan Cay Mia, 6A Truong Dinh"; "center"; "Chạo Tôm Cây Mía – grilled shrimp paste wrapped around sugarcane. Served with herbs and noodles."
"eat"; "Banh Chuoi"; "banana pancake"; "afternoon"; "15k VND (~0.6$)"; "Hem 5 Doi Cung"; "center"; "Bánh Chuối Chiên Cô Hằng – deep-fried banana fritters with golden crust. Sweet street treat."
"eat"; "Sinh To Bo"; "avocado smoothie"; "afternoon"; "25k VND (~1$)"; "Cô Mai Smoothie, 20 Phan Dang Luu"; "center"; "Sinh Tố Bơ Cô Mai – thick and creamy avocado blend with condensed milk and crushed ice."
"eat"; "Bun Thang"; "Hanoi-style egg and chicken noodle soup"; "morning"; "40k VND (~1.6$)"; "Ha Noi Pho, 89 Le Loi"; "center"; "Bún Thang – complex broth with shredded chicken, egg floss, mushroom and herbs. Delicate and flavorful."
"eat"; "Bo Cuon La Lot"; "beef in betel leaves"; "evening"; "40k VND (~1.6$)"; "Quan Nuong 24, 24 Nguyen Thai Hoc"; "center"; "Bò Cuốn Lá Lốt – grilled beef wrapped in betel leaves, served with rice noodles and dipping sauce."
"eat"; "Tra Sua Tran Chau Den"; "black pearl milk tea"; "afternoon"; "35k VND (~1.4$)"; "TocoToco, 12 Chu Van An"; "center"; "Trà Sữa Trân Châu Đen TocoToco – classic milk tea with chewy black tapioca pearls."
"eat"; "Sua Tuoi Tran Chau Duong Den"; "fresh milk with brown sugar pearls"; "afternoon"; "35k VND (~1.4$)"; "Bobapop, 19 Le Loi"; "center"; "Sữa Tươi Trân Châu Đường Đen – caramelized brown sugar pearls in chilled fresh milk."
"eat"; "Mi Quang Tom Thit"; "turmeric noodles with shrimp and pork"; "lunch"; "35k VND (~1.4$)"; "Quang Noodle House, 18 Nguyen Sinh Cung"; "east"; "Mì Quảng Tôm Thịt – yellow noodles with broth, crackers, pork, shrimp, and peanuts."
"eat"; "Banh Mi Op La"; "fried egg baguette"; "morning"; "15k VND (~0.6$)"; "6B Phan Dinh Phung"; "center"; "Bánh Mì Ốp La Cô Thủy – toasted baguette with sunny-side-up eggs, soy sauce, and cucumber slices."
"see"; "Tu Duc Tomb"; "tomb"; "all-day"; "150k VND (~6$)"; "Xuan Thuy Street"; "south"; "Visit Lăng Tự Đức, the poetic tomb of Emperor Tu Duc. Surrounded by pine forests and lotus ponds. Quiet and reflective."
"see"; "Imperial City"; "palace"; "morning"; "200k VND (~8$)"; "Imperial City Entrance"; "citadel"; "Explore the Đại Nội – Hue’s old Imperial Citadel. Includes palaces, temples, and gardens. Best visited in the morning to avoid heat."
"see"; "Thien Mu Pagoda"; "pagoda"; "all-day"; "free"; "Kim Long Ward"; "north"; "Thien Mu Pagoda is a 7-story tower overlooking the Perfume River. One of Hue’s oldest religious sites. Peaceful and scenic."
"see"; "Khai Dinh Tomb"; "tomb"; "all-day"; "150k VND (~6$)"; "Thuy Bang Commune"; "southwest"; "Lăng Khải Định mixes Eastern and Western architecture. Steep stairs lead to detailed mosaics and imperial grandeur."
"see"; "Minh Mang Tomb"; "tomb"; "all-day"; "150k VND (~6$)"; "Huong Tho Commune"; "west"; "Lăng Minh Mạng – a serene tomb with lakes, bridges, and courtyards. Deeply Confucian and balanced."
"see"; "Dong Ba Market"; "market"; "morning"; "free"; "Tran Hung Dao Street"; "center"; "Hue’s oldest market with stalls for food, fabric, and souvenirs. Bustling and colorful. Great for local snacks."
"see"; "Perfume River Cruise"; "boat ride"; "evening"; "120k VND (~5$)"; "Toa Kham Wharf"; "center"; "Take a dragon boat cruise along the Perfume River at sunset. Live music and lanterns available in some trips."
"see"; "Hue Museum of Royal Antiquities"; "museum"; "afternoon"; "50k VND (~2$)"; "23 Le Truc Street"; "citadel"; "See royal clothing, porcelain, and antiques from the Nguyen Dynasty. Quiet, informative, and indoor."
"see"; "Truong Tien Bridge"; "bridge"; "evening"; "free"; "Truong Tien Street"; "center"; "Iconic metal bridge over the Perfume River. Beautiful when lit up at night. A favorite photography spot."
"see"; "Quoc Hoc High School"; "colonial building"; "morning"; "free (outside)"; "12 Le Loi"; "center"; "Founded in 1896, Quoc Hoc is a pink French-style school. Alumni include Ho Chi Minh. Walk past for photos."
"see"; "Thanh Toan Tile-Roofed Bridge"; "bridge"; "morning"; "free"; "Thanh Thuy Chanh Village"; "east"; "An arched wooden bridge in a tranquil village. Features a small agricultural museum beside."
"see"; "Nam Giao Esplanade"; "altar"; "morning"; "free"; "Dien Bien Phu Street"; "south"; "The Nam Giao Esplanade was used for heaven-worship ceremonies. Surrounded by pine trees and spiritual calm."
"see"; "An Dinh Palace"; "palace"; "afternoon"; "50k VND (~2$)"; "17 Phan Dinh Phung"; "center"; "Former residence of Bao Dai. Elegant faded interiors and European-influenced murals. Great for photos."
"see"; "Hai Ba Trung Walking Street"; "night market"; "evening"; "free"; "Hai Ba Trung Street"; "center"; "Night-time pedestrian zone with food stalls, music, and street performers. Crowded but lively!"
"see"; "Le Ba Dang Art Museum"; "museum"; "afternoon"; "50k VND (~2$)"; "15 Le Loi"; "center"; "Gallery of works by Le Ba Dang – a Vietnamese-French painter. Bright and modern exhibition space."
"see"; "The Flag Tower"; "historic site"; "morning"; "free"; "South Gate, Citadel"; "citadel"; "Tall flagpole built in early 1800s. Overlooks imperial walls. Good for panoramic photos."
"see"; "Tam Giang Lagoon"; "nature"; "afternoon"; "free"; "Quang Dien District"; "north"; "A vast lagoon with fishing villages and stunning sunset views. Ideal for photographers and bird watchers."
"see"; "Thuy Xuan Incense Village"; "village"; "afternoon"; "free"; "Thuy Xuan Ward"; "south"; "Brightly colored incense sticks laid out to dry. You can take photos or try rolling incense yourself."
"see"; "Ho Thuy Tien Abandoned Park"; "abandoned park"; "morning"; "free (unofficial)"; "Thuy Bang Ward"; "southwest"; "Eerie, graffiti-covered water park that was never finished. Instagram famous, not officially open."
"see"; "Canh Duong Beach"; "beach"; "all-day"; "free"; "Loc Vinh Commune"; "east"; "Wide sandy beach away from city crowds. Clear water and local seafood stalls."
"see"; "Bao Quoc Pagoda"; "pagoda"; "morning"; "free"; "Bao Quoc Street"; "citadel"; "Large Buddhist temple founded in 17th century. Peaceful grounds and forested path."
"see"; "Hue Railway Station"; "colonial building"; "morning"; "free"; "2 Bui Thi Xuan"; "center"; "French colonial train station with retro architecture. You can enter freely even without a ticket."
"see"; "Tinh Tam Lake"; "lake"; "morning"; "free"; "inside Citadel"; "citadel"; "Ancient lotus lake once reserved for royalty. Calm and photogenic, best visited during lotus season (May–July)."
"see"; "Thuy Bieu Village"; "countryside"; "all-day"; "free"; "Thuy Bieu Ward"; "south"; "Quiet village near the river. Known for pomelo gardens and traditional houses. Great for cycling tours."
"see"; "Tu Hieu Pagoda"; "pagoda"; "morning"; "free"; "Duong Xuan Thuong II"; "south"; "Zen temple where Thich Nhat Hanh trained. Forested, simple, and deeply peaceful."
"see"; "Vong Canh Hill"; "viewpoint"; "morning"; "free"; "Huyen Tran Cong Chua Street"; "south"; "A scenic hill with a panoramic view of the Perfume River and royal tombs. Great for sunrise or quiet afternoon picnics."
"see"; "Hai Van Pass"; "mountain road"; "all-day"; "free"; "on National Route 1A"; "north"; "A famous coastal road with hairpin turns and ocean views. Popular with motorbike travelers."
